id,label,closnesscentrality,modularity_class
2,cronos_reports-daily.job,0.0,4
3,cronos_reports-weekly.job,0.0,1
4,cx_metrics-daily.job,0.0,3
5,dfc_reporting-daily.job,0.41935483870967744,0
6,dfc_reporting_labor_metrics-daily.job,0.41935483870967744,1
7,event_parser-weekly.job,0.42857142857142855,4
8,fulfillment-daily.job,0.32608695652173914,0
9,fulfillment-hourly.job,0.32608695652173914,0
10,generate_user_default_sort-daily.job,0.0,2
12,inventory_migration-daily.job,0.5172413793103449,1
13,inventory_time_series-daily.job,0.7142857142857143,2
14,inventory_utilization-daily.job,1.0,2
15,loyalty-daily.job,0.4782608695652174,4
16,mongo2vertica-daily.job,0.6923076923076923,4
17,mongo2vertica-daily.job,1.0,4
18,mysql_prod_sync-daily.job,0.6842105263157895,3
19,mysql_sync-daily.job,0.4838709677419355,3
20,mysql_sync-hourly.job,1.0,2
21,order_basket_revenue_allocation-weekly.job,0.0,2
22,order_group_reservation-daily.job,0.6842105263157895,1
23,orderwarehouse-daily.job,0.7586206896551724,2
24,ot_po_shift_forecast-daily.job,0.0,2
25,pixel_processing-daily.job,0.6875,4
26,planning_reports-daily.job,0.0,2
28,product_catalog_data-daily.job,0.0,2
29,products_master-daily.job,0.7352941176470589,2
30,queue_membership-daily.job,0.5,4
31,queue_rankings-daily.job,1.0,2
35,style_pdp_actions-weekly.job,0.0,4
36,tableau_processing-daily.job,1.0,4
37,unlimited_report_build-daily.job,0.0,4
38,warehouse_labor-daily.job,0.3111111111111111,1
32,retail_inventory-hourly.job,0.0,5
